1,"Al-Ameen Public School, Edappally",,,
2,"Bhavan's Vidya Mandir, Elamakkara",,,
3,"Bhavan's Vidya Mandir, Eroor",,,
4,"Campion School, Elamakkara",,,
5,"Carmel Public School, Vazhakulam",,,
6,"Chavara Darshan CMI Public School, Koonammavu",,,
7,"Christava Mahilalayam HSS, Aluva",,,
8,"Christava Mahilalayam public School,Aluva",,,
9,"Christhu Jayanthi Public School, Kakkanad",,,
10,"Cochin public School, Thrikkakara",,,
11,"Cresent Metric HSS, Tuticorin",,,
12,"Don Bosco HSS, Irinjalakuda",,,
13,Gems Modern Academy Brahmapuram,,,
14,"Govt BHSS, Manjeri, Malappuram",,,
15,"Govt HSS, Eloor",,,
16,"GOVT.HSS, Panampallinagar",,,
17,"Gregorian public School, Maradu",,,
18,"GV Raja Sport School, Trivandrum",,,
19,GVHSS. Kalamassery,,,
20,"Holy Cross HSS, Tuticorin",,,
21,"Ideal Public school, Aluva",,,
22,"Jeevass CMI Central School, Aluva",,,
23,Jyothi Niketthan Alappuzha,,,
24,"LFC HSS, Koratty",,,
25,"Little Flower, Koratty",,,
26,"Mount Carmel GHSS, Kottayam",,,
27,"Naipunya public School,Thrikkakara",,,
28,"Nalanda Public School, Thammanam",,,
29,"Providence HSS, Kozhikode",,,
30,"Rajagiri Amala CMI Public School, Vaikom",,,
31,"Rajagiri christhu Jayanthi public School, Kakkanadu",,,
32,"Rajagiri HSS, Kalamassery",,,
33,"Rajagiri public School, Kalamassery",,,
34,"Rajagiri St: Chavara CMI Public School, Cherthala",,,
35,"Sacred Heart HSS, Thevara",,,
36,"Silver Hills HSS, Kozhikode",,,
37,Sivagiri Thottumugham,,,
38,"SN trust HSS, Kollam",,,
39,St: Anne's HSS Kottayam,,,
40,"St: Antony's HSS, Kacheripady",,,
41,St: Ephrem's Mannanam,,,
42,St: GEORGE H.S.,,,
43,"St: Gorettie HSS, Trivandrum",,,
44,"St: John's Visitation Public School, Muppathadom",,,
45,"St: Joseph's HSS, Pulincunnoo",,,
46,"St: Mary's Public School, Thamarachal",,,
47,"St: peter's School, Kadayiruppu",,,
48,The charter school Kakkanad,,,
49,"Toch Public School, Vyttila",,,
50,"Vidyodaya public School, Thevakkal",,,
51,Vishwajyoti School,,,